"Incident-based crime statistics, by detailed violations, police services in the Atlantic provinces c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 35-10-0178-01 (formerly CANSIM 252-0075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Province or territory, Policing district/zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violations,"Total, all violations  [0]",,,,,"Total, all Criminal Code violations (including traffic)  [25]",,,,,"Total, all Criminal Code violations (excluding traffic)  [50]",,,,,Total violent Criminal Code violations  [100] 8,,,,,Total property crime violations  [200],,,,,Total other Criminal Code violations  [300],,,,,Total Criminal Code traffic violations  [900] 9,,,,,Total impaired driving  [910] 9 10 11,,,,,Total other Criminal Code traffic violations  [920] 9,,,,,Total Federal Statute violations  [400],,,,,Total Drug violations  [401],,,,,"Possession, cannabis (pre-legalization)  [4140] 12",,,,,"Possession, cocaine  [4120] 13",,,,,"Total, possession, other Controlled Drugs and Substances Act drugs  [410] 13",,,,,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 12 14 15",,,,,"Total cocaine, trafficking, production or distribution  [430]",,,,,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",,,,,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 14 16",,,,,Total Cannabis Act  [450] 12 15,,,,,Youth Criminal Justice Act  [6450],,,,,Total other Federal Statutes  [610],,,,,Bankruptcy Act  [6100],,,,,Income Tax Act  [6150],,,,,Canada Shipping Act  [6200],,,,,Canada Health Act  [6250],,,,,Customs Act  [6300],,,,,Competition Act  [6350],,,,,Excise Act  [6400],,,,,Total Immigration and Refugee Protection Act  [620] 17,,,,,Firearms Act  [6550],,,,,National Defence Act  [6560],,,,,Quarantine Act  [6600],,,,,Other federal statutes  [6900],,,,
"Alberton, Prince Edward Island, Royal Canadian Mounted Police, rural [11700]",,524,591,614,695,743,512,582,598,689,731,397,463,478,575,591,120,145,155,181,144,216,254,248,290,356,61,64,75,104,91,115,119,120,114,140,50,57,50,56,46,65,62,70,58,94,12,9,16,6,12,8,6,12,5,9,0,0,0,0,0,0,0,1,2,0,5,1,3,0,1,0,0,0,0,0,0,1,2,0,6,2,3,5,2,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,3,1,0
"Charlottetown, Prince Edward Island, Royal Canadian Mounted Police, rural [11702]",,995,991,1047,1408,1205,973,965,1013,1386,1168,812,836,895,1235,1004,245,239,281,359,295,423,449,443,614,493,144,148,171,262,216,161,129,118,151,164,146,109,105,126,130,15,20,13,25,34,22,26,34,22,37,18,19,27,20,30,0,0,0,0,0,3,0,2,2,0,4,3,4,1,4,0,0,0,0,0,4,3,13,6,14,6,11,6,10,11,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,4,7,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,3,0,0,0,2,4,4,1,2
"Montague, Prince Edward Island, Royal Canadian Mounted Police, rural [11703]",,570,588,573,678,779,548,575,562,664,765,463,499,480,595,670,162,174,147,158,187,225,253,258,329,362,76,72,75,108,121,85,76,82,69,95,74,65,69,61,70,11,11,13,8,25,22,13,11,14,14,15,8,6,8,8,0,0,0,0,0,1,0,0,3,3,2,2,1,0,0,0,0,0,0,0,1,2,4,5,2,11,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,7,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,3,1,1,0,0,0,0,0,3,1,0,0,0,2,2,0,1,1
"Souris, Prince Edward Island, Royal Canadian Mounted Police, rural [11705]",,398,378,403,501,514,383,364,392,491,508,306,314,353,439,467,104,99,91,124,126,131,157,178,217,265,71,58,84,98,76,77,50,39,52,41,65,38,37,50,34,12,12,2,2,7,15,14,11,10,6,13,11,10,7,5,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,4,8,3,1,6,6,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
"Summerside, Prince Edward Island, Royal Canadian Mounted Police, rural [11706]",,943,892,990,1294,1130,892,859,952,1253,1086,750,743,827,1099,938,243,242,228,291,246,404,377,465,648,544,103,124,134,160,148,142,116,125,154,148,104,80,67,100,78,38,36,58,54,70,51,33,38,41,44,39,26,24,29,30,0,0,0,0,0,2,1,3,2,5,6,5,3,5,5,0,0,0,0,0,16,10,8,8,6,15,7,10,9,14,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,12,7,14,12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,1,0,0,0,0,1,4,5,2,0,0,0,0,0,1,2,0,0,0,9,2,9,4,9
"Charlottetown, Prince Edward Island, Royal Canadian Mounted Police, rural [11707]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Montague, Prince Edward Island, Royal Canadian Mounted Police, municipal [11709]",,270,265,295,371,325,258,261,290,356,317,235,228,261,332,297,83,76,87,79,53,111,99,116,174,180,41,53,58,79,64,23,33,29,24,20,20,30,27,21,13,3,3,2,3,7,12,4,5,15,8,8,4,3,12,6,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,1,1,5,1,7,3,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,2
"Cavendish, Prince Edward Island, Royal Canadian Mounted Police, rural [11713]",,56,46,88,77,143,54,45,86,76,140,48,38,74,62,115,11,8,19,13,44,31,17,44,35,40,6,13,11,14,31,6,7,12,14,25,6,7,11,13,23,0,0,1,1,2,2,1,2,1,3,2,1,2,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stratford, Prince Edward Island, Royal Canadian Mounted Police, municipal [11714]",,356,392,464,643,576,349,383,459,630,570,312,340,420,587,522,60,88,83,145,98,203,217,286,344,314,49,35,51,98,110,37,43,39,43,48,34,38,36,39,45,3,5,3,4,3,7,9,5,13,6,4,5,3,8,3,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,2,1,3,0,3,1,0,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1
"Charlottetown (Headquarters), Prince Edward Island, Royal Canadian Mounted Police [11715]",,4,14,2,1,5,3,14,0,1,3,3,12,0,0,3,1,4,0,0,1,2,8,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlottetown (Division Headquarters 1), Prince Edward Island, Royal Canadian Mounted Police [11959]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlottetown (Division Headquarters 2), Prince Edward Island, Royal Canadian Mounted Police [11970]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia [12],,57484,60082,66025,68328,71388,55981,58686,64758,67019,70019,51733,54734,61169,62997,65882,14848,15041,16344,17146,16555,27254,30830,35115,35871,38023,9631,8863,9710,9980,11304,4248,3952,3589,4022,4137,3460,3062,2883,3032,2939,788,890,706,990,1198,1503,1396,1267,1309,1369,1110,981,851,998,1024,0,0,0,0,0,184,143,113,140,146,165,180,206,254,229,0,0,0,0,0,314,330,279,343,348,263,195,184,174,189,1,0,0,2,2,183,133,69,85,110,40,16,24,32,42,353,399,392,279,303,0,0,0,0,0,0,1,0,0,3,9,22,5,11,9,1,18,8,2,0,1,1,1,3,4,0,0,0,0,0,22,16,21,40,51,23,3,2,14,30,51,76,110,77,87,0,0,0,0,0,37,44,3,0,0,209,218,242,129,116
"Amherst, Nova Scotia, municipal [12001]",,1436,1438,1662,1775,1690,1407,1415,1647,1745,1653,1373,1351,1577,1683,1570,304,375,358,395,378,665,703,881,993,863,404,273,338,295,329,34,64,70,62,83,11,26,40,24,27,23,38,30,38,56,29,23,15,30,37,23,15,7,23,26,0,0,0,0,0,2,2,1,3,5,8,6,2,3,6,0,0,0,0,0,5,4,2,13,6,6,2,2,2,6,0,0,0,0,0,2,1,0,2,3,0,0,0,0,0,6,8,8,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,2,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,4,6,4,0,7
"Annapolis Royal, Nova Scotia, municipal [12002]",,40,47,65,55,83,38,46,65,53,81,35,40,60,47,77,13,10,16,17,21,15,21,33,19,34,7,9,11,11,22,3,6,5,6,4,3,3,3,4,2,0,3,2,2,2,2,1,0,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Halifax County, Nova Scotia, Royal Canadian Mounted Police, rural [12003]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Berwick, Nova Scotia, municipal [12004]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bridgewater, Nova Scotia, municipal [12006]",,615,699,869,795,746,608,675,851,782,732,559,609,791,714,673,170,225,244,195,160,269,298,421,379,389,120,86,126,140,124,49,66,60,68,59,35,53,54,58,42,14,13,6,10,17,7,24,18,13,14,6,15,11,12,13,0,0,0,0,0,1,1,2,2,3,0,2,2,1,0,0,0,0,0,0,4,7,6,4,5,0,4,1,4,3,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,1
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",,1039,1106,1033,1187,1376,980,1068,991,1143,1338,903,969,918,1070,1259,246,270,275,319,373,392,393,370,437,512,265,306,273,314,374,77,99,73,73,79,72,81,62,60,66,5,18,11,13,13,59,38,42,44,38,43,32,25,40,37,0,0,0,0,0,2,5,1,1,0,7,10,4,0,1,0,0,0,0,0,3,8,10,21,17,28,9,8,17,17,0,0,0,0,0,3,0,2,1,2,0,1,0,0,0,16,5,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,16,3,16,2,1
"Clark's Harbour, Nova Scotia, municipal [12008]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",,2130,2091,2240,2335,2350,2086,2039,2211,2302,2322,1788,1802,1999,2055,2098,505,446,521,584,559,974,1077,1192,1158,1195,309,279,286,313,344,298,237,212,247,224,237,193,178,192,144,61,44,34,55,80,44,52,29,33,28,36,44,24,27,25,0,0,0,0,0,7,2,8,3,6,2,2,3,4,1,0,0,0,0,0,14,15,5,10,13,8,9,7,5,4,0,0,0,0,0,5,16,1,5,1,1,0,0,2,0,7,8,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,2,3,2
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",,1079,1248,1199,1334,1289,1033,1208,1169,1299,1266,866,1044,1071,1192,1143,279,296,278,338,340,454,579,636,684,626,133,169,157,170,177,167,164,98,107,123,133,132,80,86,75,34,32,18,21,48,46,40,30,35,23,30,27,16,18,13,0,0,0,0,0,6,3,5,1,4,11,4,5,7,1,0,0,0,0,0,5,5,3,2,5,5,8,3,7,1,0,0,0,0,1,3,7,0,1,1,4,0,1,0,0,12,13,13,17,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,2,8,3,8,4,0,0,0,0,0,1,2,0,0,0,6,3,9,4,6
"Digby, Nova Scotia, municipal [12012]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Glace Bay, Nova Scotia, municipal [12014]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural [12016]",,590,593,601,551,673,568,568,588,537,659,505,511,545,498,598,191,185,161,171,232,236,244,309,255,243,78,82,75,72,123,63,57,43,39,61,60,45,30,30,52,3,12,13,9,9,22,25,13,14,14,16,15,9,7,9,0,0,0,0,0,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,4,6,5,2,4,6,5,2,4,2,0,0,0,1,0,2,2,2,0,2,0,0,0,0,0,6,10,4,7,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,1,0,0,0,4,5,4,2,1
"Membertou, Nova Scotia, Royal Canadian Mounted Police, rural [12017]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cape Breton Region, Nova Scotia, municipal [12018]",,4488,4736,4557,4534,4230,4393,4652,4493,4469,4175,4142,4435,4329,4297,4023,1136,1039,970,963,859,2107,2552,2539,2510,2416,899,844,820,824,748,251,217,164,172,152,161,134,116,109,97,90,83,48,63,55,95,84,64,65,55,93,80,59,59,53,0,0,0,0,0,16,10,2,10,9,3,3,2,4,3,0,0,0,0,0,35,38,39,27,25,35,26,15,11,13,1,0,0,0,0,3,3,1,7,3,2,1,2,2,1,0,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Halifax, Nova Scotia, municipal [12020]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hantsport, Nova Scotia, municipal [12021]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Kentville, Nova Scotia, municipal [12023]",,549,493,533,609,663,541,486,529,605,656,501,460,484,550,587,160,122,147,180,155,255,229,215,232,241,86,109,122,138,191,40,26,45,55,69,33,18,37,35,47,7,8,8,20,22,8,7,4,4,7,6,6,4,3,6,0,0,0,0,0,3,1,2,2,1,0,0,1,0,0,0,0,0,0,0,2,4,1,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1
"Lunenburg, Nova Scotia, municipal [12029]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Middleton, Nova Scotia, municipal [12031]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
